id,participant_id,submitted_at,q12_brand_model,q13_storage,q14_color,q15_price,q16_website,q17_price_importance,q18_important_features
d69f5fd2-8647-446d-bf5f-d7d4d95bd5bd,fe4a79bb-642e-49d8-920a-a5f39035ffe3,2025-11-20 16:28:44.825722+00,iphone 16 pro,256,,"1,359"," https://fr.mobileinto.com/Apple-iPhone-16-Pro/",3,"[""Software support & updates""]"
e08ef69c-e2cf-4ca7-b1bd-8ba6c6969286,151939c4-8aae-490b-92eb-c7d353a4a95c,2025-11-18 18:24:07.194885+00,Galaxy S25 Ultra,256,not mentioned,740,https://www.accio.com/business/best-selling-smartphones-under-700-2025,5,"[""Battery life/ fast charging"",""Display Quality"",""Performance/ speed""]"
61a8b287-daa2-4f2a-81fb-8b986b5846bf,e2f70344-8588-468c-9dc2-8c2993f5b6c9,2025-11-15 23:33:02.200087+00,iphone 16,i dont remember,black,600,i dont have it anymore,7,"[""Battery life/ fast charging"",""Storage capacity"",""Performance/ speed""]"
cf915025-bcc2-4601-a95c-3c100486db9f,82e40cf7-aadd-46a9-a1b5-f68aed30f6af,2025-11-15 06:41:10.904399+00,Iphon 15 plus,,,430,https://www.xfinity.com/mobile/shop/phone/iphone-15?colorName=Blue&CMP=KNC-2441983277264-MICROSOFT-73392736265868-c--e-XM%2BApple%2BShopping%2BCampaign%2B-%2BTest%2B2025-2441983277264-22983203661-188863027841,4,"[""Performance/ speed"",""Storage capacity"",""Display Quality""]"
6779e0a5-d521-430b-92a4-c5a1e2399b09,88584cfe-a550-4209-a1f3-be628bb2647b,2025-11-13 16:33:03.325266+00,Iphone 17 pro,128,Black,1200,https://www.rebuy.fr/acheter/mobile/apple/generation-iphone-17/iphone-17-pro,3,"[""Battery life/ fast charging"",""Camera quality"",""Display Quality""]"
0d2623c1-6bb4-413e-ab8d-e47788a45861,25e47297-047a-4582-bc17-c13f5b2ef07b,2025-11-13 13:03:15.542345+00,Iphone 17 pro,128,White,700,https://www.apple.com/shop/buy-iphone/iphone-16,4,"[""Battery life/ fast charging"",""Camera quality"",""Performance/ speed""]"
8a8b32cc-71a2-4e03-abc1-a152c4c1ada9,f668df6c-a949-40d0-8ff9-840a65e676a2,2025-11-12 20:52:12.988011+00,Google Pixel 9a,,Black,I forget,I didnt copy it,5,"[""Battery life/ fast charging"",""Camera quality"",""Performance/ speed""]"
b968c35c-fdde-4d48-922d-07d0b1c51887,76ca052a-413b-426f-bf8e-5bc80d00c05a,2025-11-12 20:17:06.955312+00,Pixel 9a,128GB,Black,I don't know,I don't know,7,"[""Battery life/ fast charging"",""Camera quality"",""Performance/ speed""]"
db7ae719-6ce3-4bef-979a-fbb377c04262,eb2efe5b-53d6-4751-9ba5-2004d1234e28,2025-11-12 15:40:06.031249+00,Redmi 15 5G,,,300,Did not provide external link with price,7,"[""Camera quality""]"
cdad5892-0e45-422a-b9f6-3f1c6c4c5f69,b5a7af15-f889-4b20-b58c-192fe764f0b6,2025-11-11 19:06:05.978665+00,"iPhone ",Don’t know,"Blue ","Don’t know ",…,4,"[""Battery life/ fast charging"",""Performance/ speed""]"
49ce31b1-3bda-411d-9adf-a2db6fb7c381,d7c7e6ac-408e-462d-8c9a-5f27b58b5aa8,2025-11-11 16:06:02.455552+00,Iphone 15,256gb,white,839 eur,https://www.coolblue.be/nl/product/935194/apple-iphone-15-256gb-blauw.html,4,"[""Camera quality"",""Performance/ speed"",""Storage capacity""]"
60c8394a-04aa-421e-ba59-0835ef943d9c,0ba4f0a8-673f-4054-80e0-690aaf497b51,2025-11-11 03:17:49.786245+00,Apple iPhone 17 Pro Max,,,€801,https://www.apple.com/shop/buy-iphone/iphone-17-pro/6.9-inch-display-256gb-silver-unlocked,3,"[""Performance/ speed"",""Camera quality""]"
a5d14817-9f23-4fcb-bb70-7edb6953309a,548569b2-6aeb-4403-9dfe-4b84cd9cbf25,2025-11-10 22:35:07.846749+00,Samsung Galaxy A26,,,208,https://www.notebookcheck.net/Ranking-Best-smartphones-for-under-200-dollars-euros.137498.0.html,6,"[""Performance/ speed"",""Storage capacity"",""Software support & updates""]"
613965fb-5581-4041-a972-c91338c6b9f3,e483224e-1a8b-49ed-8bd7-42e5478ff6b0,2025-11-10 16:26:16.159111+00,iPhone,128,black,630,https://www.otto.de/technik/apple/iphone/,6,"[""Battery life/ fast charging"",""Camera quality"",""Storage capacity""]"
c0ef5b6d-dc6c-4005-b42e-7941c4e40ac1,9e7360ab-bdd9-40a7-a7f1-83fa542060b0,2025-11-10 15:28:37.160578+00,Samsung Galaxy S25 Ultra,,,1023,mobileshop .eu,4,"[""Battery life/ fast charging"",""Camera quality"",""Performance/ speed""]"
27e1187a-bbe6-437b-9b06-9e6fe2f0fe7b,ca9b0948-8403-4218-8775-d36126f6cb02,2025-11-09 13:34:10.902823+00,Test,Tset,Tset,Tset,Test,1,"[""Battery life/ fast charging"",""Camera quality"",""Display Quality""]"
272a6bca-22af-476b-be3c-06b692cb74ec,2c298a5e-7070-4fd7-a6fe-ff3907029e8c,2025-11-09 12:45:13.234949+00,Samsung Galaxy S25,,,€799,https://www.idealo.de/preisvergleich/OffersOfProduct/205675376_-galaxy-s25-128gb-pinkgold-samsung.html,5,"[""Display Quality"",""Software support & updates"",""Camera quality""]"
1bf1ed02-e180-4a4d-bd93-6303340c1ce6,21121fd2-00ef-4b2a-974f-823f26f3f7fd,2025-11-08 13:44:08.344338+00,iPhone 17 Pro,256,Deep Blue,€1299,https://www.apple.com/shop/buy-iphone/iphone-17-pro/6.3-inch-display-256gb-deep-blue-unlocked,2,"[""Camera quality"",""Performance/ speed"",""Software support & updates""]"
3abfcc65-1106-424d-941a-f5832008e460,090b95b5-f52a-4e45-8665-1cc819388638,2025-11-07 15:09:47.643924+00,Google pixel 9a,,,N/A,N/A,6,"[""Battery life/ fast charging"",""Display Quality"",""Performance/ speed""]"
a478741a-d0e9-44ef-bbea-99302dfc5a58,47ead152-a4ca-406f-b621-4baca17ac0b0,2025-11-07 13:54:01.94445+00,Galaxy s22,256 gb,Green,500,.,3,"[""Battery life/ fast charging"",""Performance/ speed"",""Storage capacity""]"
cd3347b1-3a7e-403e-a9e3-54009cc3d20c,dae39537-13a5-45a3-ae49-4dbd155f0de2,2025-11-07 13:53:52.008656+00,Samsung Galaxy s24,512 gb,Silver,600,.,7,"[""Battery life/ fast charging""]"
e37e170f-1ed0-4509-96fa-9a199d874982,157bcbd1-0270-41ee-af9a-4211ed21ea7c,2025-11-07 13:12:35.345152+00,iphone,,,600,https://theecodealz.com/search?product=iphone+16&country=de,4,"[""Battery life/ fast charging"",""Camera quality"",""Storage capacity""]"
b2acad42-9775-4950-8348-43d29a9084a9,95a96e83-18a8-47ad-919e-faee2ccf6d1d,2025-11-07 13:09:23.500488+00,vivo s20pro,256GB,Silver,300 euro,www.taobao.com,7,"[""Camera quality"",""Performance/ speed"",""Storage capacity""]"
08e3bb0b-0693-44e7-a75c-e05d7f3dc6cd,b4dc7adf-e8db-4728-b4e3-9581f9be6651,2025-11-06 16:08:22.185219+00,Samsung Galaxy 25,512 GB,Black,900,https://www.androidheadlines.com/phone-comparisons-samsung-galaxy-s25-ultra-vs-google-pixel-8-pro,5,"[""Battery life/ fast charging"",""Camera quality"",""Storage capacity""]"
f58e2f9d-0552-41a6-b938-d0d6c6e0f269,18b17697-3a40-4604-ba57-75c836a01401,2025-11-04 17:35:47.853387+00,Google Pixel 8pro,128,White,650€,Otto.de,3,"[""Camera quality"",""Performance/ speed"",""Software support & updates""]"
0e8793fe-c785-4cec-b8c5-308ad5afd03c,bfa88b12-3ef7-44b4-b63a-edfae1b18d71,2025-11-04 16:21:08.242726+00,Xiaomi 17 pro Max,512GB,"Black ",999$,https://mstore.ie/,5,"[""Storage capacity"",""Battery life/ fast charging"",""Display Quality""]"
2cb55638-c38a-468f-a5f0-1447ca89cbc9,1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 21:05:01.499197+00,Samsung S25,256,blue,639,https://www.kaufland.de/product/524765710/?kwd=&source=pla&id_unit=388832070069&utm_source=google&utm_medium=cpc&utm_id=20518190045&gad_source=1&gad_campaignid=20522592181&gbraid=0AAAAADprSmHhZ8Pje-tRXGd4FQ-9lYfN4&gclid=CjwKCAiAwqHIBhAEEiwAx9cTeaQ5kpKgSIoxMY3pvfbfYiBoT6bDOj4_LSvp4d2-CFx43b7fwtVN-hoC9rsQAvD_BwE,5,"[""Camera quality"",""Storage capacity"",""Software support & updates""]"
c5c13cbf-19b7-4655-81e1-176af095c033,1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 21:02:18.638279+00,Samsung S25,256,blue,639,https://www.kaufland.de/product/524765710/?kwd=&source=pla&id_unit=388832070069&utm_source=google&utm_medium=cpc&utm_id=20518190045&gad_source=1&gad_campaignid=20522592181&gbraid=0AAAAADprSmHhZ8Pje-tRXGd4FQ-9lYfN4&gclid=CjwKCAiAwqHIBhAEEiwAx9cTeaQ5kpKgSIoxMY3pvfbfYiBoT6bDOj4_LSvp4d2-CFx43b7fwtVN-hoC9rsQAvD_BwE,5,"[""Camera quality"",""Storage capacity"",""Software support & updates""]"
8f493290-3008-461f-b6a4-88eb783ba000,1cde5bc6-87ef-4a39-87da-3e93c51cfffa,2025-11-03 20:59:39.161288+00,Samsung S25,256,blue,639,https://www.kaufland.de/product/524765710/?kwd=&source=pla&id_unit=388832070069&utm_source=google&utm_medium=cpc&utm_id=20518190045&gad_source=1&gad_campaignid=20522592181&gbraid=0AAAAADprSmHhZ8Pje-tRXGd4FQ-9lYfN4&gclid=CjwKCAiAwqHIBhAEEiwAx9cTeaQ5kpKgSIoxMY3pvfbfYiBoT6bDOj4_LSvp4d2-CFx43b7fwtVN-hoC9rsQAvD_BwE,5,"[""Camera quality"",""Storage capacity"",""Software support & updates""]"
c87495ba-65bd-4520-b332-1514f0cc705a,a7128b4a-e209-487c-844d-c485ecac85ec,2025-11-03 20:45:12.970231+00,Samsung Galaxy A16,128,Black,119€,https://www.mediamarkt.de/de/product/_samsung-galaxy-a16-lte-128-gb-blue-black-dual-sim-3002219.html?storeId=&utm_source=google&utm_medium=cpc&utm_campaign=RT_shopping_na_nsp_na_PLA+-+bluePortal+5&gclsrc=aw.ds&gad_source=1&gad_campaignid=9726738128&gbraid=0AAAAADh5KahBIUdZWklYU26VfGNPC_J6Z&gclid=CjwKCAiAwqHIBhAEEiwAx9cTeUeK3mj-2Z0xGHplqMbSRRSGkfqPruzhU7OV7utHo_bKYvXnAAG36RoCFtQQAvD_BwE,5,"[""Battery life/ fast charging"",""Display Quality"",""Performance/ speed""]"
4684ef91-5d38-4b16-9757-13a94cd8c28d,b9fede00-231a-4c78-8324-6691b1533caf,2025-11-03 20:44:16.476432+00,Samsung galaxy S25 Ultra,512GB,Black,859 EUR,https://www.backmarket.de/de-de/p/samsung-gb/fd3bc922-47f3-40d4-9c42-7445f42e6837?utm_source=google&utm_medium=cpc&utm_campaign=DE_SA_SHOP_G_GEN_Android_RSC&gclid=CjwKCAiAwqHIBhAEEiwAx9cTeY2DkSgpr9umr1y2fiXKUyJ5JmfsEvTGxDtgNz8xw2wiYsfep3XqyxoC6NEQAvD_BwE&gad_source=1&gad_campaignid=21929186320&l=11,2,"[""Battery life/ fast charging"",""Performance/ speed"",""Software support & updates""]"
91acb4ca-bc0f-4265-94bb-706ee697da4f,b9fede00-231a-4c78-8324-6691b1533caf,2025-11-03 20:41:28.783288+00,Samsung galaxy S25 Ultra,512GB,Black,859 EUR,https://www.backmarket.de/de-de/p/samsung-gb/fd3bc922-47f3-40d4-9c42-7445f42e6837?utm_source=google&utm_medium=cpc&utm_campaign=DE_SA_SHOP_G_GEN_Android_RSC&gclid=CjwKCAiAwqHIBhAEEiwAx9cTeY2DkSgpr9umr1y2fiXKUyJ5JmfsEvTGxDtgNz8xw2wiYsfep3XqyxoC6NEQAvD_BwE&gad_source=1&gad_campaignid=21929186320&l=11,2,"[""Battery life/ fast charging"",""Performance/ speed"",""Software support & updates""]"
b1e02b9b-9cae-461f-aae5-70921c21b929,a543481c-04cb-4b98-a616-eaf896f1df99,2025-11-03 18:28:01.87055+00,"Huawei ",128gb,Black,€130,Xxx,4,"[""Display Quality"",""Performance/ speed"",""Software support & updates""]"
161665ea-d0ed-4fad-9c32-3a10c720774b,cb9660a8-d526-4241-8700-235ce3e07153,2025-11-03 18:02:02.44193+00,Samsung S24,256GB,Black,702,https://www.bechtle.com/de-en/shop/samsung-galaxy-s24-128gb-black--4782404--p,5,"[""Battery life/ fast charging"",""Camera quality"",""Performance/ speed""]"
0b06bd60-e61a-42a5-8a11-99345907196c,386be8d7-6771-4885-8745-e30399b113d0,2025-11-03 16:20:09.813873+00,iPhoe 17,256,Dark Blue,919,https://www.idealo.de/preisvergleich/OffersOfProduct/207643424_-iphone-17-apple.html,3,"[""Software support & updates"",""Battery life/ fast charging"",""Display Quality""]"
ca22273f-e4c5-45b3-ac1f-0809e2349fb2,a5192e43-ba28-42e5-84ef-bae523f81e89,2025-10-31 16:20:26.519274+00,Iphone 14 pro,256 GN,Gold,Around 1k eur 52k TRY,"https://www.akakce.com/cep-telefonu/en-ucuz-iphone-14-pro-256-gb-altin-fiyati,2078290059.html",3,"[""Battery life/ fast charging"",""Display Quality"",""Performance/ speed""]"
cf255946-cb0e-48e4-aea4-93b6f03c6177,93f5f60a-cfa4-474d-b6e2-c6b860392ea2,2025-10-31 14:59:17.049045+00,pixel 8,256,"black ",380,https://www.google.com/aclk?sa=L&ai=DChsSEwiVl6-12c6QAxUolYMHHY8tJjAYACICCAEQDBoCZWY&ae=1&co=1&ase=2&gclid=Cj0KCQjwvJHIBhCgARIsAEQnWlC-xFREqBSlwDP0sj_zpEw-hDwOzPNjzNwB7DJzIouGbHJ5CDX4wJoaAnc6EALw_wcB&sph=&cce=2&category=acrcp_v1_34&sig=AOD64_3i3XtfSt38EXqKp4ZD5RxA6SGdpQ&ctype=5&q=&nis=4&ved=2ahUKEwi9h6i12c6QAxVO0wIHHYpzECcQwg8oAHoECAcQDQ&adurl=https://www.backmarket.de/de-de/p/google-gb/cea90250-0591-48fd-bea2-9bd705a2ff82%3Futm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_campaign%3DDE_SA_SHOP_G_GEN_Android_RSC%26gclid%3DCj0KCQjwvJHIBhCgARIsAEQnWlC-xFREqBSlwDP0sj_zpEw-hDwOzPNjzNwB7DJzIouGbHJ5CDX4wJoaAnc6EALw_wcB%26gad_source%3D1%26gad_campaignid%3D21929186320%26gbraid%3D0AAAAADDqGRxmRwPF2L0iiCYgafODjXftP%26gclid%3DCj0KCQjwvJHIBhCgARIsAEQnWlC-xFREqBSlwDP0sj_zpEw-hDwOzPNjzNwB7DJzIouGbHJ5CDX4wJoaAnc6EALw_wcB,2,"[""Camera quality"",""Storage capacity"",""Performance/ speed""]"
a80831bb-14bc-4cee-865f-e3880a2b3377,e9a313e1-1c7e-4546-9f45-cb2354489190,2025-10-31 14:40:21.284819+00,Samsung Galaxy S25 Ultra,1 TB,Titanium Black,€1039,https://www.idealo.de/preisvergleich/OffersOfProduct/205675809_-galaxy-s25-ultra-1tb-titanium-black-samsung.html,4,"[""Camera quality"",""Performance/ speed"",""Battery life/ fast charging""]"
957df2f9-6084-4258-bd8f-c65db037efbf,a65764e7-9c2f-4219-aa12-fd54da7bf875,2025-10-31 14:36:17.082073+00,iPhone 17,256/512,"Black, white, mist blue, sage, lavender ",€799,https://www.apple.com/iphone-17/,4,"[""Performance/ speed"",""Storage capacity"",""Battery life/ fast charging""]"
35149535-51ac-4a4f-b081-17000b345b61,145a5e3a-5d68-4457-9cc1-eaffd6662734,2025-10-31 14:13:37.345332+00,Google Pixel 9a,"128 GB ",Porcelain,399,https://www.phonearena.com/news/pixel-9a-still-best-price_id173236,4,"[""Battery life/ fast charging"",""Camera quality"",""Storage capacity""]"
9e8ce215-0fca-4e7e-be44-471fd1c21a9c,de565c32-62e7-4659-92f7-bfd80fc0a61c,2025-10-31 12:49:20.922001+00,"No one, I asked for more specific details regarding the first answer but the chatbot gave me other old-fashioned options ",,,"No idea ","No idea ",5,"[""Battery life/ fast charging"",""Camera quality"",""Software support & updates""]"
1553be35-6edc-49d9-90f2-74cf970510ae,248c1f6f-3b38-4411-a85c-8040a5a74f4d,2025-10-30 23:11:45.655399+00,"Bigme hibreak pro color ",256,Black,€377.99,Bigme.vip,5,"[""Display Quality"",""Software support & updates"",""Storage capacity""]"
2b6d9449-ee88-40de-a416-1d32107bfa26,6e109541-c2ae-46ea-827a-edf44d67660e,2025-10-30 20:50:28.045401+00,Ip 14,128,Blue,350,https://shopee.com/,7,"[""Battery life/ fast charging"",""Camera quality"",""Display Quality""]"
c74150f6-63b2-4566-9bc9-4594754eca52,5f62d87d-4912-454b-94d1-309c26c16b08,2025-10-30 19:28:49.998604+00,Samsung,256 GB,Blue,1065,https://www.mediamarkt.de/de/product/_samsung-galaxy-s25-ultra-5g-12512-gb-ti-gray-512-gb-titanium-gray-dual-sim-150485344.html?gad_campaignid=23082679917&gad_source=1&gclid=Cj0KCQjwmYzIBhC6ARIsAHA3IkQkI-x30fFxrV7m9vyGv4TzcHB5K_CHU3AJakrw0LGHZX6jpYR3oUwaAvl0EALw_wcB&gclsrc=aw.ds&storeId=&utm_campaign=rt_shopping_generic_sp_na_WKZ-SamsungTabletBundle-PLA1901423&utm_medium=cpc&utm_medium=cpc&utm_source=google&utm_source=google,2,"[""Camera quality"",""Display Quality"",""Performance/ speed""]"
